"source","target","value"
0,27,1.5
0,3,1.5
0,11,1.5
0,21,1.5
24,7,1.5
24,12,1.5
24,11,1.5
24,43,1.5
24,21,1.5
24,35,1.5
38,25,1.5
38,26,1.5
38,41,1.5
38,33,1.5
38,45,1.5
25,33,1.5
25,34,1.5
26,29,1.5
26,32,1.5
26,41,1.5
26,43,1.5
26,45,1.5
26,47,1.5
1,10,1.5
1,15,1.5
1,19,1.5
2,9,1.5
2,14,1.5
2,18,1.5
27,3,1.5
3,16,1.5
3,20,1.5
3,21,1.5
28,4,1.5
28,31,1.5
28,12,1.5
28,32,1.5
28,44,1.5
28,37,1.5
39,40,1.5
39,33,1.5
39,34,1.5
39,45,1.5
39,46,1.5
39,47,1.5
4,5,1.5
4,6,1.5
4,12,1.5
4,37,1.5
5,6,1.5
5,30,1.5
5,17,1.5
29,12,1.5
29,32,1.5
29,43,1.5
6,12,1.5
6,17,1.5
6,21,1.5
6,23,1.5
6,36,1.5
7,11,1.5
7,35,1.5
10,13,1.5
10,15,1.5
10,19,1.5
10,22,1.5
9,18,1.5
9,23,1.5
9,36,1.5
8,13,1.5
30,17,1.5
30,37,1.5
31,42,1.5
31,44,1.5
31,37,1.5
12,32,1.5
12,43,1.5
12,21,1.5
11,21,1.5
40,42,1.5
40,44,1.5
40,47,1.5
16,20,1.5
16,21,1.5
16,23,1.5
42,44,1.5
32,44,1.5
32,47,1.5
13,22,1.5
14,15,1.5
14,18,1.5
41,43,1.5
41,35,1.5
41,45,1.5
33,34,1.5
33,45,1.5
15,18,1.5
15,22,1.5
17,18,1.5
17,36,1.5
43,35,1.5
34,46,1.5
18,36,1.5
44,47,1.5
21,23,1.5
45,47,1.5
23,36,1.5
